timestamps,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,focused
1569118344.9499900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0709261,0.169561,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0410138,0.0399416,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9500200,,,,,,,,,,,,,,,,,,,,,nan,0.751011,0.626219,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9500600,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.116539,0.159059,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9500700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.02051,0.0052195,nan,,,,,,,,,,,,,,,,,,,,,0
1569118344.9500900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0
1569118344.9501100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0
1569118344.9501200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
1569118344.9501300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
1569118344.9501400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1569118345.0514200,,,,,,,,,0.0,0.215837,0.677924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0514600,,,,,,,,,,,,,0.0,-0.0402394,0.018332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0514800,0.0,1.2105,1.1909,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0514900,,,,,0.0,0.418769,0.634124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0515000,,,,,,,,,,,,,,,,,0.0,-0.333469,-0.827074,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0515100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0751292,0.184759,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0515300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0416612,0.0404588,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118345.0515400,,,,,,,,,,,,,,,,,,,,,nan,0.742123,0.601972,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
